Date,Bid,Ask,Open,Low,High,Close,Avg,Volume,Transactions
2022-12-16,155.09,156.49,182.81,135.60,183.98,155.00,161.47,"440,381,101","47,237"
2022-12-19,158.50,159.14,155.00,145.01,175.00,159.13,162.75,"169,676,718","21,841"
2022-12-20,160.48,160.75,159.00,158.00,168.50,160.48,163.69,"37,566,843","9,457"
2022-12-21,160.14,160.67,161.50,157.00,171.00,160.67,163.45,"63,855,691","15,090"
2022-12-22,159.40,159.50,160.67,159.00,162.78,159.40,160.16,"18,620,506","7,645"
2022-12-23,158.00,158.22,160.90,157.60,161.00,158.00,158.97,"11,381,027","5,230"
2022-12-26,164.90,165.91,158.92,158.52,172.50,165.00,165.64,"99,876,398","15,278"
2022-12-27,162.70,163.00,164.06,161.60,169.00,162.70,163.89,"20,021,495","6,921"
2022-12-28,164.83,165.12,162.70,162.70,168.40,164.83,165.71,"13,035,024","6,726"
2022-12-29,166.00,166.02,164.00,163.24,168.60,166.02,166.08,"17,279,768","6,124"
2022-12-30,163.00,163.46,166.03,160.00,170.00,162.00,163.49,"22,966,970","5,198"
2023-01-03,166.00,166.19,174.95,162.51,174.95,166.00,168.93,"20,080,287","4,713"
2023-01-04,165.09,165.59,164.57,164.00,166.99,165.09,165.42,"8,199,407","3,283"
2023-01-05,164.80,164.89,165.10,163.65,166.46,164.89,164.86,"4,102,194","1,869"
2023-01-06,164.10,164.27,163.90,163.33,165.98,164.00,164.22,"3,537,065","2,200"
2023-01-09,163.85,163.88,164.00,163.05,165.19,163.90,163.67,"6,328,021","3,797"
2023-01-10,163.97,163.98,161.04,161.04,171.70,163.97,166.23,"24,743,959","4,551"
2023-01-11,162.15,162.68,162.30,158.47,164.91,162.87,162.05,"19,615,993","4,021"
2023-01-12,162.20,162.60,162.69,161.50,164.58,162.59,162.41,"8,027,830","2,981"
2023-01-13,162.75,162.79,161.96,159.00,169.20,162.75,163.68,"11,613,059","3,113"
2023-01-16,163.18,163.27,162.00,161.90,164.82,163.28,163.45,"7,269,457","3,115"
2023-01-17,162.38,162.82,164.00,162.10,166.90,162.38,163.97,"14,042,480","3,857"
2023-01-18,162.53,163.18,162.38,162.11,164.86,162.53,163.21,"8,431,907","4,144"
2023-01-19,163.10,163.52,163.02,161.51,163.90,163.60,163.08,"9,697,924","2,946"
2023-01-20,162.79,163.15,163.79,162.27,164.00,163.16,162.98,"3,110,771","2,047"
2023-01-23,162.90,163.29,163.65,161.64,163.89,162.81,162.80,"5,877,337","2,645"
2023-01-24,162.36,162.56,163.30,162.36,163.69,162.36,162.84,"5,884,026","1,959"
2023-01-25,160.60,161.08,162.94,159.02,162.94,160.60,160.60,"14,219,418","4,104"
2023-01-26,159.34,159.48,160.60,159.32,161.12,159.49,159.98,"6,557,571","2,443"
2023-01-27,159.21,159.47,160.00,159.02,160.97,159.21,159.36,"6,997,913","2,406"
2023-01-30,162.55,162.56,160.97,159.21,165.39,161.70,162.28,"37,410,897","5,699"
2023-01-31,162.40,162.83,163.94,161.71,163.94,162.43,162.27,"11,047,801","2,581"
2023-02-01,161.91,161.99,162.43,161.70,163.49,161.98,162.21,"7,359,416","2,617"
2023-02-02,161.90,161.91,161.98,161.00,162.69,161.91,161.57,"11,669,070","4,216"
2023-02-03,161.59,161.60,161.91,160.10,162.30,162.00,161.11,"10,688,402","2,611"
2023-02-06,176.20,176.24,163.20,162.01,186.40,176.20,174.92,"226,466,482","29,198"
2023-02-07,171.43,171.47,183.40,168.36,183.40,171.47,174.15,"60,537,806","11,215"
2023-02-08,171.00,171.13,172.98,166.11,175.74,171.13,170.50,"39,781,665","8,858"
